speaker	vowel/frame	context	F1	F2	F3	gl F1	gl F2	gl F3
OHDMTV_M	BOOT	(young rat) who (couldn't make)	438	1803	2439	438	1803	2439
OHDMTV_M	BOOT	(all rotted) through (so that the)	455	1780	2307	413	1505	2287
OHDMTV_M	BOOT	(can't stay) cooped (up here any)	378	1911	2354	352	1822	2232
OHDMTV_M	BOOT	(happened to) move (a board)	464	1826	2374	472	1743	2418
OHDMTV_M	TOOT	"(bothered it,) too. ([pause] At)"	434	1957	2623	434	1808	2437
OHDMTV_M	TOOT	"(driveway salt,) do (you? he asked)"	485	1907	2570	430	2010	2540
OHDMTV_M	TOOT	"(second, two--[P]) two (cots on sale)"	419	2130	2382	432	1744	2424
OHDMTV_M	TOOT	(This won't) do (said their leader)	483	1967	2630	413	1824	2550
OHDMTV_M	TOOT	(you're coming up) too? ([P] I'm not)	442	1921	2417	463	1721	2346
OHDMTV_M	BIDE	(Sam) decided (to tour the)	617	1526	2556	573	1798	2567
OHDMTV_M	BIDE	(tour the) countryside. ([pause] His)	600	1459	2596	570	1783	2596
OHDMTV_M	BIDE	(out of the) driveway. ([P] I can’t)	668	1493	2518	600	1690	2450
OHDMTV_M	BIDE	(cooped up) inside (on such a nice)	667	1382	2630	651	1692	2660
OHDMTV_M	BIDE	"(After) five (minutes, he drove)"	676	1347	2476	606	1732	2843
OHDMTV_M	BIDE	"(On) Friday, (all he’d seen were)"	703	1433	2493	588	1758	2638
OHDMTV_M	BIDE	"(have any) driveway (salt, do you?)"	701	1617	2461	764	1810	2616
OHDMTV_M	BIDE	"(only need [P]) five (right now, he)"	676	1287	2510	625	1805	2714
OHDMTV_M	BIDE	(in his small-) sized (foreign auto)	645	1334	2604	540	1743	2720
OHDMTV_M	BIDE	"(fire in her) eyes, (he took a)"	706	1529	2445	661	1785	2570
OHDMTV_M	BITE	"(golf partner,) Pike, (was gone, and)"	671	1316	2623	544	1919	2459
OHDMTV_M	BITE	"(playing the) fife, (which made his)"	663	1191	2523	560	1884	2435
OHDMTV_M	BITE	"(before his) wife, (Joan, caught him)"	681	1335	2589	531	1648	2443
OHDMTV_M	BITE	(from last) night. ([pause] He took)	692	1574	2504	659	1934	2492
OHDMTV_M	BITE	"(on such a) nice (day, he thought)"	655	1638	2458	602	1857	2516
OHDMTV_M	BITE	(he saw a) sight (to behold [pause])	659	1442	2695	571	1886	2522
OHDMTV_M	BITE	"(need five) right (now, he nodded)"	567	1720	2459	587	1976	2572
OHDMTV_M	BITE	"(special on) light (bulbs, and first)"	692	1342	2636	565	1751	2491
OHDMTV_M	BITE	(they were a) tight (fit in his small)	666	1630	2586	623	2103	2641
OHDMTV_M	BOUT	(out of the) house (before his wife)	731	1518	2544	696	1234	2632
OHDMTV_M	BOUT	(been a) thousand (seagulls eating)	688	1635	2633	698	1204	2848
OHDMTV_M	BOUT	"(hogs, horses,) cows, (and a bull)"	631	1798	2448	558	1169	2588
OHDMTV_M	BOUT	(roof of the) house ([P] and thought)	713	1541	2565	656	1201	2611
OHDMTV_M	BOUT	(heard a) loud (noise in)	716	1335	2509	687	1198	2539
OHDMTV_M	BOUT	(they sent ou--sent) out (scouts to search)	642	1666	2637	697	1283	2508
OHDMTV_M	BOUT	(sent ou--sent out) scouts (to search for)	586	1847	2453	602	1330	2484
OHDMTV_M	BOUT	(evening the) scouts (came back)	616	1814	2375	661	1447	2556
OHDMTV_M	BOUT	(crawled) out (of their)	667	1606	2614	564	1198	2610
OHDMTV_M	BOUT	(others and) shouted ([pause] Right)	618	1732	2625	579	1425	2538
OHDMTV_M	BOUT	(Right) about (face!  March!)	708	1416	2562	654	1170	2660
OHDMTV_M	BOUT	(sleep on the) couch (but he)	690	1694	2539	593	1480	2586
OHDMTV_M	BOY	(farms with) soybean (fields and the)	600	1150	2607	604	1633	2466
OHDMTV_M	BOY	(sense to) avoid (those plants [P])	532	962	2534	525	1609	2315
OHDMTV_M	BOY	(made his) voice (sound hoarse.)	625	823	2411	658	1714	2563
OHDMTV_M	BOY	([pause] He) enjoyed (looking at the)	496	1554	2426	527	1755	2560
OHDMTV_M	BOY	(one of the) joists (gave way and)	513	1296	2324	452	1881	2535
OHDMTV_M	BAR	"(His golf) partner, (Pike, was)"	600	1334	2225			
OHDMTV_M	BAR	(the family) car (before his wife)	672	1218	2506			
OHDMTV_M	BAR	(still hadn’t) started (washing the)	607	1453	2547			
OHDMTV_M	BAR	([pause] Not) far (away he heard)	624	1118	2505			
OHDMTV_M	BAR	(heard a dog) barking ([P] Maybe)	651	1296	2308			
OHDMTV_M	BAR	"(No, but) Tharp’s (tool store ought)"	704	1302	2762			
OHDMTV_M	BAR	([pause] The) tar (on the road had)	701	1264	2557			
OHDMTV_M	BAR	"(gone from) hard (to soft, since)"	673	1141	2390			
OHDMTV_M	BAR	"(wash that big,) dark (cooking pot on)"	544	1347	2412
OHDMTV_M	BAR	"(certain, said) Arthur (undaunted)"	642	1382	2440
OHDMTV_M	BORder=BOAR	(family car) before (his wife)	546	968	2424
OHDMTV_M	BORder=BOAR	(voice sound) hoarse ([pause] At)	589	821	2384
OHDMTV_M	BORder=BOAR	"(the hogs, [P]) horses, (cows, and a)"	565	941	2401
OHDMTV_M	BORder=BOAR	(passed Cooper’s) Fork (where he’d)	513	857	2777
OHDMTV_M	BORder=BOAR	"(rushed to the) store, (which was)"	569	1242	2497
OHDMTV_M	BORder=BOAR	(took a) shortcut (down Tuttle)	554	1304	2443
OHDMTV_M	BORder=BOAR	(as he) poured (out the dish soap)	644	869	2610
OHDMTV_M	BORder=BOAR	"(in a) hoarse (voice, I don’t)"	566	994	2356
OHDMTV_M	BORder=BOAR	(old-fashioned) horse (barn where)	575	806	2449
OHDMTV_M	BORder=BOAR	(be room and) board (for all of them)	463	827	2537
OHDMTV_M	BORder=BOAR	(old rat) coarsely. (Of course)	576	945	2360
OHDMTV_M	BORder=BOAR	(coarsely. Of) course (you’re coming)	491	969	2388
OHDMTV_M	BORder=BOAR	(open the) door? (The dog)	485	1197	2457
OHDMTV_M	BORder=BOAR	"(Oh, my) poor (ears, he muttered)"	537	941	2424
OHDMTV_M	TOUR	(decided to) tour (the countryside)	577	1469	2277
OHDMTV_M	BUR	"(far away, he) heard (a dog barking)"	524	1774	2268
OHDMTV_M	BUR	"(bulbs, and) first (he bought those)"	471	1796	2341
OHDMTV_M	BUR	(night the rats) heard (a loud noise)	510	1779	2225
OHDMTV_M	BUR	(scouts to) search (for a new)	527	1844	2391
OHDMTV_M	BUR	(I’m not) certain (said Arthur)	520	1797	2251
OHDMTV_M	BUR	(there’s no) cure (for this [pause])	431	1747	2123
OHDMTV_M	BUR	(But) during (the night)	563	1791	2297
OHDMTV_M	BARE	(in the dust-filled) air (was so bad)	521	1775	2466
OHDMTV_M	BARE	(to town. [P])  There (he passed)	573	1880	2604
OHDMTV_M	BARE	"(With the) spare (tire, they were a)"	503	1778	2512
OHDMTV_M	BARE	(will ever) care (for you if you)	547	1947	2413
OHDMTV_M	BARE	(she couldn’t) bear (to see the)	555	1798	2403
OHDMTV_M	BARE	(all the rats') hair (stood on end)	510	1887	2455
OHDMTV_M	BEER	(made his) ears (throb [pause])	439	2160	2576
OHDMTV_M	BEER	(time [P] to) hear (his other daughter)	432	2153	2530
OHDMTV_M	BEER	"(Oh, my poor) ears (he muttered)"	476	2212	2493			
OHDMTV_M	BEER	(on end with) fear (and horror)	404	1951	2355			
OHDMTV_M	BEER	(cooped up) here (any longer)	418	2057	2531			
OHDMTV_M	POOL=PULL	(soak in his) pool (and too foggy)	517	1067	2481	555	1051	2514
OHDMTV_M	POOL=PULL	(both a) school (and a hospital)	506	974	2401	541	997	2484
OHDMTV_M	POOL=PULL	(He’d be a) fool (if he didn’t have)	572	755	2393	583	1044	2577
OHDMTV_M	POOL=PULL	(Tharp’s) tool (store ought to sell)	561	1028	2413	490	1004	2621
OHDMTV_M	POOL=PULL	(as he [P]) pulled (out o' the driveway)	528	804	2577	563	983	2566
OHDMTV_M	POOL=PULL	"(cows, and a) bull (this Saturday)"	531	1032	2339	525	858	2496
OHDMTV_M	POOL=PULL	(wanted a) full (tank [pause])	536	871	2679	483	1101	2485
OHDMTV_M	POLE	(it was too) cold (Saturday to)	599	878	2367	476	1040	2616
OHDMTV_M	POLE	"(telephone) poles (zip by, he)"	525	881	2656	445	1091	2891
OHDMTV_M	POLE	(sight to) behold ([pause] There)	613	1039	2272	654	1023	2471
OHDMTV_M	POLE	"(hooks,) bolts, (and a bushel)"	603	920	2503	543	966	2624
OHDMTV_M	POLE	(that the) whole (thing was quite)	714	859	2643	467	1041	2584
OHDMTV_M	POLE	"(rafters, joists--the) whole (business)"	609	858	2519	486	917	2526
PTX003	BAIT	"(go, like, to) state (but this year we)"	492	1946	2726	411	2271	2752
PTX003	BAIT	(Um--I) play (the drums [P])	466	1723	2574	454	1689	2576
PTX003	BAIT	(they change) stations (all the time)	400	2285	2855	347	2469	2945
PTX003	BAIT	([P] I) b::asically (grew up with)	416	2114	2813	417	2150	2821
PTX003	BAIT	(I guess it's) fading (away--um--uh--)	454	2023	2895	421	2287	3102
PTX003	BAIT	(didn't have to) stay (but I wanted)	494	2001	2770	474	2160	3000
PTX003	BAIT	(really want to) make (it a career)	523	2002	2977	509	2091	3044
PTX003	BAIT	(I guess you could) say (that there's)	439	1967	2619	434	2005	2581
PTX003	BAIT	"(schools, how) they--([P] they have)"	461	1875	2783	485	2115	2901
PTX003	BAIT	(I had to write a) paper (on that [P])	420	2383	3177	431	2394	3094
PTX003	BAIT	(couple o' like) skateboard--([P])	446	2383	3087	426	2454	3008
PTX003	BAIT	(college) applications (but not that)	436	2305	2769	421	2089	2881
PTX003	BAIT	(know it--it'll) save (me a lot more)	404	1984	2768	369	2101	2813
PTX003	BAN	Austin and P San Antonio	560	1849	2941			
PTX003	BAN	and my band teachers	496	1899	2755			
PTX003	BAN	and I can't P really	666	1935	2872			
PTX003	BAN	P clans and everything	739	1793	3111
PTX003	BAN	P you can--P you can	524	1918	2757
PTX003	BAN	P clans the popular	660	1843	2822
PTX003	BAN	between the Hispanics P	613	1708	2639
PTX003	BAN	real fancy and if you	652	1773	2803
PTX003	BAN	P and I think	484	1828	2753
PTX003	BAN	"(with my dad, their) family ([P] I mean)"	652	1727	2562
PTX003	BAN	([P] I mean) Spanish (as well as English)	677	1868	2674
PTX003	BAN	(because we) understand (you in English)	749	1932	2839
PTX003	BAR	(it was really) hard ([P] because)	625	1226	2554
PTX003	BAR	(it was pretty) hard ([P] I guess)	625	1223	2614
PTX003	BAR	(he--he plays) guitar (too and so [P])	615	1370	2465
PTX003	BAR	(this--on this) part (o' the--the town)	561	1409	2158
PTX003	BAR	(the police) department. ([P] Some)	586	1470	2158
PTX003	BAR	"(but, yeah, there) are (like--[P] there)"	547	1421	2064
PTX003	BAR	(there was one) party ([P] that took)	592	1118	2161
PTX003	BAT	used to have P	607	1555	2589
PTX003	BAT	go back up there	539	1563	2573
PTX003	BAT	like slash P	689	1617	2705
PTX003	BAT	P that's my first	493	1681	2663
PTX003	BAT	and up with that P	610	1788	2793
PTX003	BAT	"and my dad, he would"	628	1791	2866
PTX003	BAT	I came back down	606	1616	2718
PTX003	BAT	I didn't have to stay	744	1756	2559
PTX003	BAT	P in black P with	772	1793	2876
PTX003	BAT	the staff and everything	711	1816	2619
PTX003	BAT	(some scholarship) packages ([P] But)	564	1820	2644
PTX003	BAT	"(freshman [P]) slack (off, you know)"	620	1745	2988
PTX003	BAT	(I remember) asking (them one time)	550	1675	2605
PTX003	BAT	"(like, all these) strategies (and--[P] on)"	607	1845	2741
PTX003	BAT	(they--they) pass' (it on to their)	731	1795	2707
PTX003	BEAT	now we're in concert season P s' now	179	2641	3679
PTX003	BEAT	just--I mean P he's pro'ly P just	291	2712	3609
PTX003	BEAT	the--the new P teacher and stuff	344	2652	3617
PTX003	BEAT	all my band teachers and everybody	293	2377	3045
PTX003	BEAT	what I would s::ee it. I don't--I mean	339	2281	3191
PTX003	BEAT	and so P she decided to go over there	300	2257	2948
PTX003	BEAT	over there to see how it would be and	334	2211	2737
PTX003	BEAT	see how it would be and P she ended	372	2273	2985
PTX003	BEAT	P Uh--he's--P right--right now he's--I	325	2579	3182
PTX003	BEAT	not a lot o' people who would P like	302	2196	2781
PTX003	BEAT	"P My mom, she's a--P gosh"	298	2300	2715
PTX003	BEAT	"really good, different people. P I mean"	423	2562	3244
PTX003	BEAT	friends or P be separated P	348	2286	3068
PTX003	BET	([P] I) guess (it's fading away)	449	2001	2763
PTX003	BET	(for--[P] for--for) better (--um--[P])	587	1801	2722
PTX003	BET	(better--um--[P]) better (-paying job)	560	1773	2600
PTX003	BET	(they were) never (used to)	497	1692	2284
PTX003	BET	(they prescribe) medicate ([P])	610	1958	2735			
PTX003	BET	(and go to) bed ([P])	543	1917	2812			
PTX003	BET	(can make it) professionally ([P] and)	560	1708	2844			
PTX003	BET	(there's no) separation (between)	505	1698	2722			
PTX003	BET	"(no, like) hesitation (to where, like)"	561	1857	2846			
PTX003	BET	(gonna say it's the) best--(uh--<L>)	497	1953	2627			
PTX003	BET	"(yeah, she) said (that--I remember)"	510	1831	2672			
PTX003	BET	(just [P]) Heavy (Metal music [P])	514	1876	3115			
PTX003	BET	(s--my mind) set (up on--[P] and--)	525	1706	2611			
PTX003	BIDE	but he's--P he's P certified for P	575	1328	2692	466	2033	2777
PTX003	BIDE	"really--P I mean, I've P really haven't"	598	1852	2690	516	1914	2584
PTX003	BIDE	(where they) prescribe (medicate)	641	1652	2622	522	1909	2704
PTX003	BIDE	"on this--on this side, like the south or"	575	1578	2710	582	1857	2704
PTX003	BIDE	south or the west side it P was--was	579	1396	2656	533	2184	2690
PTX003	BIDE	you--as you P ride around this town	699	1654	2631	577	1890	2474
PTX003	BIDE	St. Edwards is like a private school P	663	1706	2789	471	2010	2744
PTX003	BIDE	([P] kind o') guide (me through it a)	570	1869	2671	537	2006	2761
PTX003	BIT	"P yeah, districts P and then"	381	1915	2900			
PTX003	BIT	for some P competitions and everything	441	2079	2874			
PTX003	BIT	this year we P d--P didn't P go	365	2008	2764			
PTX003	BIT	"but it--P it's just--I mean, P it's pro'ly"	361	1831	2753			
PTX003	BIT	P I guess it's fading away. Um--uh--	437	1824	2728			
PTX003	BIT	people who still listen to it and all	408	1669	2816			
PTX003	BIT	living in a P big city or anything P	523	1999	2887			
PTX003	BIT	used to P this environment and P	371	1645	2671			
PTX003	BIT	P it was really different. It was--P I	414	1836	2814			
PTX003	BIT	P it was a different--P different	396	1975	2820			
PTX003	BIT	know anybody; I didn't--P like--P	403	1934	2846			
PTX003	BIT	really hard to fit in. P But--P	465	1964	2807			
PTX003	BIT	air c--P air conditioning and refrigeration	393	1918	2874			
PTX003	BIT	"it's like--P it's a certificate, like a--P"	412	1864	2692			
PTX003	BIT	I want to go for business P and to major	419	1906	2865			
PTX003	BIT	us P like the Hispanics and the P	411	1877	2681			
PTX003	BITE	Uh--he's--P right--right now he's--I	527	1956	3046	521	2241	3099
PTX003	BITE	he's--P right--right now he's--I think	589	1841	2842	571	1986	2818
PTX003	BITE	P a--the--a licence that you can--P	727	1628	2609	426	2242	3055
PTX003	BITE	your gothic P type o' style P	603	1756	2922	595	1787	2853
PTX003	BITE	just like P really nice P Every--everybody	687	1633	2614	409	2355	2905
PTX003	BITE	good town P a nice easy P laid-back	636	1754	2767	400	2351	3003
PTX003	BITE	mean P there might be some people	633	1579	2419	498	1678	2459
PTX003	BITE	(basically that) type (o' deal [P])	554	1734	2932	550	1778	2888
PTX003	BOAT	would go up to P	486	1031	2530	506	1140	2593
PTX003	BOAT	we're just focusing on	526	995	2750	480	959	2779
PTX003	BOAT	P like most P	485	949	2651	411	881	2702
PTX003	BOAT	decided to go our	504	1146	2463	493	985	2575
PTX003	BOAT	to go over there	455	894	2617	452	936	2652
PTX003	BOAT	two years 'go--P two	445	1114	2636	458	994	2441
PTX003	BOAT	I--I didn't know anybody	540	1126	2477	468	988	2545
PTX003	BOAT	I stayed over there for	493	1274	2644	481	1156	2727
PTX003	BOAT	different social groups	466	980	2465	380	1025	2493
PTX003	BOAT	I don't think so P	487	1364	2683	524	1483	2677
PTX003	BOAT	([P] Like) those (tests [P] I--I always)	496	1032	2683	448	1129	2735
PTX003	BOAT	(always end up) choking (on 'em. I)	436	993	2519	436	993	2519
PTX003	BOAT	(so [P]) hopefully (now [P] well)	441	938	2704	441	938	2704
PTX003	BOAT	(I was really) hoping (for [P] like)	496	786	2684	452	793	2813
PTX003	BOAT	(still--[P] uh--) spoke (to us in Spanish)	520	936	2779	449	989	2894
PTX003	BOOT	we'd go up to--up to Austin and P San	457	1581	2453			
PTX003	BOOT	uh--well--um--P they moved P for	450	1165	2731			
PTX003	BOOT	"like, about P two, three months P"	414	1592	2482			
PTX003	BOOT	"P they:: recently moved--well, I wouldn't"	394	1202	2934			
PTX003	BOOT	"different social groups P are, like"	392	1869	2499			
PTX003	BOOT	"they would only P do stuff, like--or they "	279	1838	2430			
PTX003	BOOT	just P want to do their own deal P	368	1696	2579			
PTX003	BOOT	P tell you the truth it's not really them	381	1710	2644			
PTX003	BOOT	I don't--I don't--I choose not to and P	359	1675	2508
PTX003	BOOT	(I think I've) improved (I mean [P])	403	1224	2610
PTX003	BOOT	(because of the) roots (and everyt'ing)	352	1208	2532
PTX003	BOT=BOUGHT	"well, it's P not P anybody's fault or"	678	1615	2775
PTX003	BOT=BOUGHT	we just barely got a new band director	521	1483	2560
PTX003	BOT=BOUGHT	like P punk rock P rock s--P like	570	1233	2728
PTX003	BOT=BOUGHT	P punk rock P rock s--P like slash	638	1295	2650
PTX003	BOT=BOUGHT	P more of a pop sounding--P s--pop	704	1095	2528
PTX003	BOT=BOUGHT	pop sounding--P s--pop sound P	672	1118	2564
PTX003	BOT=BOUGHT	I know there's a lot o' people who still	672	1625	2734
PTX003	BOT=BOUGHT	"P better paying job P and, well, just"	657	1396	2600
PTX003	BOT=BOUGHT	"couldn't find a job here, and so P she"	610	1521	2762
PTX003	BOT=BOUGHT	P 'Cause not a lot o' people who	640	1466	2499
PTX003	BOT=BOUGHT	Cause not a lot o' people who would	636	1475	2741
PTX003	BOT=BOUGHT	pro--P prob'ly in Austin P	644	1307	2537
PTX003	BOT=BOUGHT	P like the popular and the P	713	1244	2587
PTX003	BOT=BOUGHT	you have your gothic P type o' style	686	1320	2755			
PTX003	BOT=BOUGHT	up to--up to Austin and P San Antonio	617	961	2422			
PTX003	BOT=BOUGHT	we went up to Austin to--P to--to get	595	1160	2803			
PTX003	BOT=BOUGHT	they kind o' P brought it up onto us	584	1381	2738			
PTX003	BOT=BOUGHT	P You could talk to anybody--uh--	539	1373	2408			
PTX003	BOT=BOUGHT	don't want to talk to and stuff P	668	1218	2537			
PTX003	BOT=BOUGHT	if they were to cross over there P even	727	1239	2692			
PTX003	BOT=BOUGHT	They don' t enforce the law. P And--P	626	1128	2903			
PTX003	BOT=BOUGHT	that's what's causing like P everything	561	1113	2768			
PTX003	BOT=BOUGHT	tuition and P cost and fees and everything	551	1085	2467			
PTX003	BOUT	(Well) now (we're in concert season)	745	1810	2626	577	1304	2527
PTX003	BOUT	"(there for, like) about ([pause] two)"	544	1314	2478	558	1226	2655
PTX003	BOUT	"(you know) how (like, on different)"	722	1303	2541	597	1250	2455
PTX003	BOUT	(different schools) how (they [pause])	642	1305	2889	541	1211	2832
PTX003	BOUT	"(side, like the) south (or the west side)"	631	1474	2651	561	1054	2834
PTX003	BOUT	"(tracks, the) houses ([pause])"	671	1486	2588	538	1288	2557
PTX003	BOUT	"([pause] Anglo) house (like, you)"	767	1429	2516	515	1269	2856
PTX003	BOUT	(as how they were) now ([pause])	622	1760	2552	571	1384	2586
PTX003	BOUT	(lot o' talk) about ([pause] the)	573	1588	2673	512	1348	2752
PTX003	BOUT	(like [P] black) out (everyting [P])	642	1850	2523	579	1282	2647
PTX003	BUT	and then plus other--other counties	536	1450	2687			
PTX003	BUT	and then plus other--other counties	585	1418	2748			
PTX003	BUT	counties and stuff. P We'd go up	550	1373	2700			
PTX003	BUT	We'd go up to--P up to Austin and P	518	1337	2707			
PTX003	BUT	"P teacher and stuff, I mean P things"	526	1262	3106			
PTX003	BUT	"P But other than that, it's been"	449	1538	2861			
PTX003	BUT	"P I was up there for, like, about P"	595	1285	2636			
PTX003	BUT	to fit in. P But--P I don't know.	557	1598	2701			
PTX003	BUT	"that many, like P stuck-up people"	514	1635	2612			
PTX003	BUT	and like P us P like the Hispanics and	588	1365	2666			
PTX003	BUT	to go down because I mean P	454	1649	2600			
PTX003	BUT	there are a couple o' like skateboard	494	1242	2535			
PTX003	BOOT	uh--well--um--P they moved P for	450	1165	2731			
PTX003	BOOT	"P they:: recently moved--well, I wouldn't"	394	1202	2934			
PTX003	BOOT	"different social groups P are, like"	392	1869	2499			
PTX003	BOOT	P tell you the truth it's not really them	381	1710	2644			
PTX003	BOOT	(I think I've) improved (I mean [P])	403	1224	2610			
PTX003	BOOT	(because of the) roots (and everyt'ing)	352	1208	2532			
PTX003	BOOK	([P] it was really) good (unintell. [P])	493	1744	2543			
PTX003	BOOK	(they're really) good (I mean [P])	512	1712	2657			
PTX003	BOOK	([P] some [P]) crooked (some [P])	474	1312	2528			
PTX003	BOOK	"([P] som::e) crooked (you know, just)"	449	1306	2437			
PTX003	BOOK	(party [P] that) took (place here [P])	463	1787	2638			
PTX003	BOOK	([P] really) wouldn't (pay attention)	482	1545	2510			
PTX003	POOL	P just a little school. P	411	965	2622	448	952	2730
PTX003	POOL	"when I went to school up there, it"	459	1020	2640	504	1087	2747
PTX003	POOL	"like, really P cool designs on their"	359	791	3064	434	1242	2837
PTX003	POOL	even P more cool and P do stuff	372	845	3064	468	866	2863
PTX003	TOOT	we'd go up to--up to Austin and P San	457	1581	2453
PTX003	TOOT	"like, about P two, three months P"	414	1592	2482
PTX003	TOOT	"they would only P do stuff, like--or they "	279	1838	2430
PTX003	TOOT	just P want to do their own deal P	368	1696	2579
PTX003	TOOT	I don't--I don't--I choose not to and P	359	1675	2508
PTX003	BORder=BOAR	like P more of a pop sounding--P	489	929	2740
PTX003	BORder=BOAR	listen to it anymore now that my parents	466	927	2521
PTX003	BORder=BOAR	(maneuver all) sorts (of [P] like air)	466	1458	1996
PTX003	BORder=BOAR	"Yeah, big porches and P like"	510	976	2441
PTX003	BORder=BOAR	(go to the grocery) store (or something)	474	1245	2443
PTX003	BORder=BOAR	P They don't enforce the law. P	426	778	2688
PTX003	BORder=BOAR	couple o' like skateboard P s'boarders	431	932	2439
PTX003	BORder=BOAR	(doesn't do that) or ([P] I mean [P])	436	944	2511
PTX003	BORder=BOAR	(ends up coming up) short ([P] and like)	467	789	2343
PTX003	BORder=BOAR	(um--[P] to) f::orty ([P] Up to forty)	437	671	2959
PTX003	BORder=BOAR	([P] Up to) forty ([P] and then now)	467	765	2591
PTX003	BARE	(we just) barely (got a new band)	461	1412	1992
PTX003	BARE	(need to go back up) there (and [P])	489	1692	2465
PTX003	BARE	(to go over) there (to see how it)	534	1750	2793
PTX003	BARE	([P] air c--[P]) air (conditioning and)	528	1812	2114
PTX003	BARE	([P] like) air (conditioning and t'ings)	432	1893	2539
PTX003	BARE	(get [P] too) scared (that I don't even)	439	2068	2760
PTX003	BEER	"(state, but this) year (we [P] didn't)"	402	1828	2400
PTX003	BEER	(couldn't find a job) here (and so [P])	427	2072	2582
PTX003	BEER	(decided to move back) here ([P])	420	2034	2792
PTX003	BEER	(want to make it a) career ([P] That)	378	2078	2357
PTX003	BEER	(do. [P] Go buy) beer. ([P] And so--)	417	1941	2346
PTX003	BUR	(now we're in) concert (season [P])	409	1792	2188
PTX003	BUR	(focusing on) concert (a::nd solo)	439	1714	2127
PTX003	BUR	([P] that's my) first ([P] I don't know)	486	1318	1807
PTX003	BUR	(the shy kind o') person (and I can't)	461	1489	1618
PTX003	BUR	(he's--he's [P]) certified (for [P] air)	480	1636	2266
PTX003	BUR	(you can [P]) purchase (and [P] you)	520	1568	1939
PTX003	BUR	(go and just) purchase (like a air--)	476	1548	1716
PTX003	BUR	(business--um--) certification ([P])	445	1631	2576
PTX003	BUR	(remember she--) her (tellin' me that)	542	1561	2019
PTX003	BUR	(what I--what I) heard (of [P] from)	500	1572	2013
PTX003	BUR	"(I mean, I) personally (don't do drugs)"	516	1624	2363
PTX003	BUR	(if you've ever) heard (on the news)	501	1440	1880
PTX003	BUR	(jumped up to::) thirty ([P] think)	487	1634	2225
PTX003	PIN=PEN	(it's not [P]) anybody's (fault or anyt'ing)	415	2069	2978
PTX003	PIN=PEN	(pretty good. We've) been--(uh--[P])	522	1825	2710
PTX003	PIN=PEN	(weeks ago we) went (up to Austin to)	399	1618	2567
PTX003	PIN=PEN	(I guess) since--(uh--[P] like)	450	1661	2615
PTX003	PIN=PEN	(It's change') into (like [P] more of a)	391	1895	2936
PTX003	PIN=PEN	(those--um--[P]) central (airs or anyt'ing)	394	1873	2893
PTX003	PIN=PEN	(um--[P] and) then (f--[P] as [P])	524	1926	2880
PTX003	PIN=PEN	([P] not too) convincing (<laugh> [P])	389	1845	2726
PTX003	PIN=PEN	(not [P] that) many (like [P] stuck-up)	329	2182	3256			
PTX003	PIN=PEN	(like [P] all) friends (and stuff)	497	1728	2690			
PTX003	PIN=PEN	(from back) then (I think this town)	515	1919	2633			
PTX003	PIN=PEN	"([P] people, it's) been ([P] I don't know)"	489	1864	2710			
PTX003	PIN=PEN	(it's not really) them. (It's more like the)	543	1942	2804			
PTX003	PIN=PEN	([P] then-but [P]) again ([P] it--)	553	2041	2824			
PTX003	PIN=PEN	(like [P] every) generation (like [P] mine)	383	1880	3015			
PTX003	PIN=PEN	(tag up on) anything (or--[P])	419	2351	3317			
PTX003	PIN=PEN	(prob'ly gonna just) end (up just [P])	481	1922	2761			
PTX003	PIN=PEN	(then transferring) into (U.T. [P])	514	1985	2704			
PTX003	PIN=PEN	(Edward's [P]) since (Saint Edward's is)	422	1622	2574			
PTX003	PIN=PEN	(sometimes even) finish ([P] all the)	473	1847	2563			
PTX023JL	BAIT	(which) made (his ears)	496	2894	3478	486	2977	3580
PTX023JL	BAIT	(I can_t) stay (cooped up)	514	2997	3610	511	3037	3463
PTX023JL	BAIT	(a nice) day (he thought)	521	2940	3609	475	3189	3780
PTX023JL	BAIT	(bad it) made (him cough)	504	3018	3630	491	3132	3697
PTX023JL	BAIT	(plants [pause]) They (made his)	555	2997	3765	607	3092	3623
PTX023JL	BAIT	(at a Gulf) station (and bought)	529	2951	3675	483	3089	3647
PTX023JL	BAIT	([P] The) eight (hundred [P])	629	2961	3622	520	3275	3648
PTX023JL	BAIT	([P] I had to) take (a nerve test and)	525	3048	3603	535	3096	3484
PTX023JL	BAIT	(I get) A's (and B's. [P])	492	3260	4176	408	3460	4065
PTX023JL	BAN	"(shoot arrows,) Sam (decided to)"	993	2038	3468			
PTX023JL	BAN	(dashed to his [P]) family's (car before)	1064	1848	3291			
PTX023JL	BAN	"(Hoover Van [P]) Dam, (where he saw)"	1057	2149	3511			
PTX023JL	BAN	(avoid those) plants. ([pause] they)	994	2138	3830			
PTX023JL	BAN	(on a tin) can (looked happy)	1054	2155	3512			
PTX023JL	BAN	(asked the) manager. ([pause] No)	978	1953	3420			
PTX023JL	BAN	(manager) answered. ([pause] I)	958	1913	3433			
PTX023JL	BAR	"(His golf) partner, (Pike, was)"	819	1221	2897			
PTX023JL	BAR	(his family's [P]) car (before his wife)	886	1392	3032			
PTX023JL	BAR	(still hadn't [P]) started (washing the)	773	1833	3171			
PTX023JL	BAR	([pause] Not) far (away he heard)	718	1095	3442			
PTX023JL	BAR	(heard a dog) barking ([pause] Maybe)	878	1511	2875
